"sd.error","r2","waic","waic.dof","log.l","mu.coef","se.coef","CI.coef.1","CI.coef.2","t.stat","n.stars","ESS","rank"
"X.14",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,-0.722963757880921,111.252518088885,-217.038952193445,221.635262873652,-0.00649840354447807,0,9765,334
"X.15",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,0.777898816520136,112.860119394838,-226.32312522977,227.703627723014,0.00689259253570947,0,9479,634
"X.16",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,-1.00165008057854,113.485099308279,-233.208376269133,225.012838232507,-0.00882626958679034,0,10000,502
"X.17",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,0.0410265885524662,114.888633962224,-226.387193840211,229.275483711583,0.000357098758489512,0,10000,329
"X.18",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,2.15677634582499,114.418654298295,-219.52318246916,225.898805694873,0.0188498663880645,0,8871,54
"X.19",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,0.568918477340983,114.948312404438,-225.67389611321,225.66370464942,0.0049493417122931,0,10000,54
"X.20",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,-0.759467755976083,112.252659514156,-222.265669074843,222.285925774939,-0.00676569944323062,0,10000,334
"X.21",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,1.7329461512304,109.5477445588,-217.316021073032,221.464799033164,0.0158190947537057,0,9939,634
"X.22",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,-0.503639142275074,108.887808513466,-211.82109732914,215.582589221303,-0.00462530332046116,0,10000,424
"X.23",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,0.244057608482078,107.248286501413,-209.204064061451,215.225791149972,0.0022756317741157,0,10000,786
"X.24",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,-0.830455577269493,107.194950098594,-211.991785796358,208.947919064724,-0.00774715204872681,0,9916,156
"X.25",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,1.49867383513895,106.598111663641,-204.647590029949,212.151817336229,0.0140591030342812,0,10000,156
"X.26",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,1.11012568137635,106.672307658229,-209.960833129415,214.222465116668,0.010406877902493,0,9627,21
"X.27",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,0.0222268382079895,104.441617954671,-208.664934364849,205.284813466811,0.000212815912308407,0,9941,334
"X.28",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,1.88632436788606,106.505307607205,-207.504008176099,208.44301647722,0.0177110832339257,0,10000,106
"X.29",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,0.68585039556031,104.68623170724,-205.086614849873,204.34842518717,0.0065514861350471,0,9737,575
"X.30",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,0.878368554676075,104.427853350236,-206.471723953743,210.28737595759,0.0084112478280115,0,10000,815
"X.31",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,1.0618610979802,106.258890631433,-210.234714004106,209.982672033835,0.00999315061234127,0,9733,575
"X.32",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,3.06339236341116,105.68463357612,-208.314749081391,209.076515883568,0.0289861662926117,0,9177,575
