"","coef_1se_cv_rr","coef_1se_cv_fused_lasso"
"V120",0.00427686254170221,0.00497869741396742
"V121",0.00429069182970672,0.0049786974137389
"V122",0.00434443579524213,0.00497869741380997
"V123",0.00438221410708451,0.00497869741395136
"V124",0.00442080435474179,0.00497869741400667
"V125",0.00446422773125326,0.00497869741405023
"V126",0.00448074382397143,0.00497869741390018
"V127",0.00454374340122776,0.00497869741375299
"V128",0.00459222433507759,0.00497869741380579
"V129",0.00462404602535916,0.00497869741381079
"V130",0.00467307149629416,0.00497869741389948
"V131",0.00469133677082894,0.00497869741389882
"V132",0.00471383901945631,0.00497869741386268
"V133",0.00476348472959216,0.00497869741388715
"V134",0.00482787512813023,0.00497869741378818
"V135",0.00484798682249954,0.00497869741383135
"V136",0.00491013600800623,0.00497869741372018
"V137",0.0049573223662849,0.00497869741380431
"V138",0.00499029656116436,0.00497869741367931
"V139",0.00505238114063246,0.00497869741364966
"V140",0.00507429734425428,0.00497869741391525
"V141",0.00512644966041377,0.00497869741406271
"V142",0.00515527528416101,0.00497869741403551
"V143",0.00520390853435795,0.00497869741388052
"V144",0.00524391732788996,0.00497869741405535
"V145",0.00528119157785726,0.00497869741401521
"V146",0.00532638678824446,0.00497869741392523
"V147",0.00534795471024645,0.00497869741392264
"V148",0.00541980182314378,0.00497869741389149
"V149",0.00545766569474372,0.00497869741401482
"V150",0.0054945645071403,0.00497869741409528
"V151",0.00555137448322504,0.00497869741395559
"V152",0.00559478717812666,0.00497869741397629
"V153",0.00565756154209159,0.00497869741412963
"V154",0.00570586558868069,0.00497869741412317
"V155",0.00570335175909008,0.00497869741406226
"V156",0.00576993117337066,0.00497869741422914
"V157",0.0058014407389838,0.00497869741439466
"V158",0.00586548765238605,0.00497869741429108
"V159",0.00593115034523804,0.00497869741419581
"V160",0.00594943117483835,0.00497869741425134
"V161",0.00600341398068043,0.00497869741415355
"V162",0.00603972443399554,0.0049786974143232
"V163",0.00608675741590956,0.00497869741412115
"V164",0.00614637406344714,0.00497869741463981
"V165",0.00621163298398091,0.0049786974141361
"V166",0.00623532537292401,0.00497869741419698
"V167",0.0062775795816439,0.00497869741405453
"V168",0.00630366495193066,0.00497869741429637
"V169",0.00636261168224431,0.00497869741417326
"V170",0.00641532910833146,0.00497869741432387
"V171",0.00649445724571207,0.00497869741432369
"V172",0.00652083568893566,0.00497869741431844
"V173",0.0065437865069455,0.00497869741422247
"V174",0.00659560221908325,0.00497869741449269
"V175",0.00666208163161126,0.00497869741431644
"V176",0.00669513258218025,0.00497869741453135
"V177",0.00676888474188166,0.00497869741450062
"V178",0.00680389801516613,0.0049786974146276
"V179",0.0068576371780265,0.00497869741458287
"V180",0.00689358409230634,0.00497869741467632
"V181",0.00695756106332727,0.0049786974146661
"V182",0.00698113152314378,0.0049786974147919
"V183",0.00703168216872196,0.00497869741453239
"V184",0.00706464440170426,0.00497869741466095
"V185",0.00716324866001831,0.00497869741442175
"V186",0.00720821917807393,0.00497869741450944
"V187",0.00726067288370125,0.0049786974143187
"V188",0.00729571165454923,0.00497869741420542
"V189",0.00735447011576787,0.00497869741431049
"V190",0.00739826191720551,0.00497869741430776
"V191",0.00744033690809409,0.00497869741461898
"V192",0.00751459620866276,0.00497869741425824
"V193",0.00756715804669197,0.00497869741414804
"V194",0.00762311727968683,0.0049786974140473
"V195",0.00766463144396845,0.00497869741448611
"V196",0.00770057142174558,0.00497869741414419
"V197",0.00774785197508173,0.00497869741401019
"V198",0.00780250448932615,0.00497869741431214
"V199",0.00786230855790188,0.00497869741435814
"V200",0.00791934730660793,0.00497869741405936
"V201",0.00797511839623216,0.0049786974140238
