"sd.error","r2","waic","waic.dof","log.l","mu.coef","se.coef","CI.coef.1","CI.coef.2","t.stat","n.stars","ESS","rank"
"X.45",4.50757692894552e-06,0.999999999860952,-450.365363783042,59.2839023159913,466.99583052816,1.38282140675314,16.2701731846266,-30.6979186570126,33.2339670616095,0.0849911916155718,0,10000,214
"X.46",4.50757692894552e-06,0.999999999860952,-450.365363783042,59.2839023159913,466.99583052816,1.39355485385292,15.9821549364376,-29.4968651032776,33.4849153058494,0.0871944277473976,0,10000,556
"X.47",4.50757692894552e-06,0.999999999860952,-450.365363783042,59.2839023159913,466.99583052816,1.14294857882293,15.9174956240667,-31.3331577301864,32.1431084017869,0.0718045480153821,0,10000,627
"X.48",4.50757692894552e-06,0.999999999860952,-450.365363783042,59.2839023159913,466.99583052816,1.18523901673746,15.7049737351455,-30.0518878046243,32.2027527191658,0.0754690225355212,0,9883,265
"X.49",4.50757692894552e-06,0.999999999860952,-450.365363783042,59.2839023159913,466.99583052816,1.22248276918505,15.8398921843204,-29.6979314648036,32.3935895086503,0.077177467810997,0,9380,165
"X.50",4.50757692894552e-06,0.999999999860952,-450.365363783042,59.2839023159913,466.99583052816,1.30849117312332,15.3724834943666,-28.6751430170095,31.4940369914905,0.0851190488253134,0,9971,675
"X.51",4.50757692894552e-06,0.999999999860952,-450.365363783042,59.2839023159913,466.99583052816,1.39017988211,15.3552427727447,-28.9331462338121,31.5807069821596,0.0905345426760393,0,10000,738
"X.52",4.50757692894552e-06,0.999999999860952,-450.365363783042,59.2839023159913,466.99583052816,1.31716670996929,15.4032004187829,-29.0788113035608,31.8912986349213,0.0855125346783853,0,9732,481
"X.53",4.50757692894552e-06,0.999999999860952,-450.365363783042,59.2839023159913,466.99583052816,1.4882840709822,15.3047633257317,-28.3260974484667,31.6285558809762,0.0972431941159108,0,9550,265
"X.54",4.50757692894552e-06,0.999999999860952,-450.365363783042,59.2839023159913,466.99583052816,1.55323252659998,15.2350487267321,-28.5921558035779,31.5778485606581,0.101951267400584,0,10000,165
"X.55",4.50757692894552e-06,0.999999999860952,-450.365363783042,59.2839023159913,466.99583052816,1.51487906671185,15.149219165592,-28.3462320088008,31.4944579190405,0.0999971714814554,0,9392,38
"X.56",4.50757692894552e-06,0.999999999860952,-450.365363783042,59.2839023159913,466.99583052816,1.3156095080306,15.1343047484473,-28.7710884074038,30.5465797290626,0.0869289689812529,0,9787,86
"X.57",4.50757692894552e-06,0.999999999860952,-450.365363783042,59.2839023159913,466.99583052816,1.42732131599074,15.1565549807907,-28.1263202129918,31.1937931359747,0.0941718825814783,0,10000,123
"X.58",4.50757692894552e-06,0.999999999860952,-450.365363783042,59.2839023159913,466.99583052816,1.34113117904695,15.2694751418513,-28.7346440116225,31.7322160736525,0.0878308629856645,0,9617,408
"X.59",4.50757692894552e-06,0.999999999860952,-450.365363783042,59.2839023159913,466.99583052816,1.31634953790781,15.2090510414735,-29.3587705112047,31.2393838741097,0.0865504056971244,0,10000,743
"X.60",4.50757692894552e-06,0.999999999860952,-450.365363783042,59.2839023159913,466.99583052816,1.38579269458655,15.3483631757215,-28.9085637847382,31.8314621757197,0.0902892822329507,0,10000,123
"X.61",4.50757692894552e-06,0.999999999860952,-450.365363783042,59.2839023159913,466.99583052816,1.6039209765303,15.3868336562338,-28.4424295436534,32.0399762494077,0.104239833377317,0,10000,165
